file_name,set,class
left\f2e59fea_nohash_1.wav,0,1
up\380abbad_nohash_0.wav,0,4
stop\f5e44d34_nohash_0.wav,0,3
up\56f8a100_nohash_0.wav,0,4
stop\51055bda_nohash_3.wav,0,3
up\67bdbf56_nohash_2.wav,0,4
up\5f8e50a0_nohash_1.wav,0,4
stop\fb8c31a9_nohash_3.wav,0,3
up\745a8e32_nohash_0.wav,0,4
stop\1dc86f91_nohash_3.wav,0,3
up\da7689f1_nohash_0.wav,0,4
stop\888a0c49_nohash_0.wav,0,3
left\65d14087_nohash_0.wav,0,1
up\ec201020_nohash_1.wav,0,4
down\b76f6088_nohash_2.wav,0,0
right\eda072b5_nohash_0.wav,0,2
left\46a153d8_nohash_2.wav,0,1
stop\c39703ec_nohash_3.wav,0,3
right\15c563d7_nohash_4.wav,0,2
up\50033893_nohash_0.wav,0,4
down\f2f0d244_nohash_2.wav,0,0
left\64da5281_nohash_0.wav,0,1
left\1f3bece8_nohash_2.wav,0,1
down\ddedba85_nohash_10.wav,0,0
stop\bfb10243_nohash_0.wav,0,3
stop\0a2b400e_nohash_0.wav,0,3
up\a108341b_nohash_1.wav,0,4
stop\cd85758f_nohash_2.wav,0,3
right\3589bc72_nohash_11.wav,0,2
down\a04817c2_nohash_0.wav,0,0
left\89947bd7_nohash_1.wav,0,1
down\e882abb2_nohash_0.wav,0,0
left\97ae8b25_nohash_0.wav,0,1
down\1cb788bc_nohash_0.wav,0,0
down\c120e80e_nohash_3.wav,0,0
right\d71ad617_nohash_2.wav,0,2
left\6f7724f5_nohash_1.wav,0,1
right\964e8cfd_nohash_0.wav,0,2
left\6fb3d5a7_nohash_0.wav,0,1
right\91942e89_nohash_1.wav,0,2
stop\da584bc0_nohash_1.wav,0,3
down\c1d39ce8_nohash_5.wav,0,0
down\3a69f765_nohash_3.wav,0,0
left\23059a35_nohash_1.wav,0,1
right\25c14394_nohash_0.wav,0,2
left\9fac5701_nohash_1.wav,0,1
up\4a0e2c16_nohash_0.wav,0,4
up\9a76f8c3_nohash_4.wav,0,4
down\365908bd_nohash_1.wav,0,0
up\7fb8d703_nohash_4.wav,0,4
up\acfd5b5e_nohash_4.wav,0,4
right\fb727898_nohash_3.wav,0,2
up\3d53244b_nohash_3.wav,0,4
stop\012187a4_nohash_1.wav,0,3
down\5a3712c9_nohash_0.wav,0,0
down\8eb4a1bf_nohash_0.wav,0,0
up\18a1aab9_nohash_1.wav,0,4
right\aa80f517_nohash_3.wav,0,2
right\54412eae_nohash_1.wav,0,2
down\686d030b_nohash_0.wav,0,0
up\54aecbd5_nohash_4.wav,0,4
right\5f9cd2eb_nohash_4.wav,0,2
down\a50a98d2_nohash_1.wav,0,0
left\74b73f88_nohash_0.wav,0,1
up\34805883_nohash_1.wav,0,4
up\f8ba7c0e_nohash_3.wav,0,4
right\234d6a48_nohash_2.wav,0,2
down\4f086393_nohash_0.wav,0,0
right\e9abfe31_nohash_3.wav,0,2
left\f19c1390_nohash_2.wav,0,1
left\5aac2efa_nohash_0.wav,0,1
left\4abefdf5_nohash_1.wav,0,1
down\57152045_nohash_3.wav,0,0
stop\51c5601d_nohash_0.wav,0,3
left\7eee5973_nohash_0.wav,0,1
up\e7ea8b76_nohash_1.wav,0,4
stop\6f9088d7_nohash_0.wav,0,3
left\bfaf2000_nohash_1.wav,0,1
down\8a325749_nohash_0.wav,0,0
up\37dca74f_nohash_1.wav,0,4
up\563aa4e6_nohash_1.wav,0,4
left\bbbf4fbd_nohash_0.wav,0,1
up\0a7c2a8d_nohash_0.wav,0,4
right\28ed6bc9_nohash_2.wav,0,2
down\56cd307a_nohash_0.wav,0,0
down\0447d7c1_nohash_2.wav,0,0
stop\3102f006_nohash_2.wav,0,3
up\50033893_nohash_3.wav,0,4
up\b8b8cb52_nohash_1.wav,0,4
stop\b4ea0d9a_nohash_2.wav,0,3
down\80c45ed6_nohash_0.wav,0,0
up\571c044e_nohash_0.wav,0,4
up\fb7eb481_nohash_1.wav,0,4
down\b55a09be_nohash_0.wav,0,0
right\4fd1443e_nohash_3.wav,0,2
stop\aa80f517_nohash_3.wav,0,3
up\5f8097e1_nohash_0.wav,0,4
down\a3502f15_nohash_0.wav,0,0
left\8f0d3c27_nohash_0.wav,0,1
right\1b18600d_nohash_3.wav,0,2
right\106a6183_nohash_0.wav,0,2
up\e0322f2c_nohash_1.wav,0,4
down\22296dbe_nohash_3.wav,0,0
left\d4d898d7_nohash_1.wav,0,1
stop\1e412fac_nohash_0.wav,0,3
down\1ed0b13d_nohash_1.wav,0,0
down\f1b35ace_nohash_0.wav,0,0
stop\321aba74_nohash_3.wav,0,3
down\45864319_nohash_0.wav,0,0
down\8442ea62_nohash_1.wav,0,0
right\8a56f36e_nohash_0.wav,0,2
left\2f0ce4d9_nohash_2.wav,0,1
stop\1e02ffc5_nohash_1.wav,0,3
right\b0f5b16d_nohash_0.wav,0,2
left\f5e5e8b0_nohash_0.wav,0,1
right\352ffbe3_nohash_0.wav,0,2
right\11a022ba_nohash_0.wav,0,2
stop\5e3dde6b_nohash_4.wav,0,3
right\a04817c2_nohash_2.wav,0,2
up\8281a2a8_nohash_3.wav,0,4
down\0ff728b5_nohash_3.wav,0,0
down\4c6167ca_nohash_7.wav,0,0
stop\ab5ae445_nohash_0.wav,0,3
stop\106a6183_nohash_1.wav,0,3
stop\d278d8ef_nohash_3.wav,0,3
stop\7f208e83_nohash_0.wav,0,3
stop\611d2b50_nohash_3.wav,0,3
stop\f30285c8_nohash_0.wav,0,3
down\1aeef15e_nohash_0.wav,0,0
left\e882abb2_nohash_1.wav,0,1
up\cd671b5f_nohash_4.wav,0,4
left\2a1f4853_nohash_1.wav,0,1
down\5b09db89_nohash_3.wav,0,0
stop\b84f83d2_nohash_0.wav,0,3
left\74b73f88_nohash_1.wav,0,1
left\c98bbbd3_nohash_1.wav,0,1
stop\5b26c81b_nohash_1.wav,0,3
left\f816db77_nohash_0.wav,0,1
right\0bfec55f_nohash_0.wav,0,2
stop\b9f46737_nohash_4.wav,0,3
left\76e53db9_nohash_1.wav,0,1
right\b414c653_nohash_2.wav,0,2
down\364c0853_nohash_0.wav,0,0
right\997867e7_nohash_1.wav,0,2
left\61bcb275_nohash_2.wav,0,1
down\38d78313_nohash_1.wav,0,0
stop\1496195a_nohash_2.wav,0,3
left\a60a09cf_nohash_1.wav,0,1
right\893705bb_nohash_2.wav,0,2
down\f9bdf10e_nohash_1.wav,0,0
right\195c120a_nohash_3.wav,0,2
